title,H,(H),(Hd) ,А ,(А),Ad ,At ,Sex ,Obj ,Aobj ,Aat ,Food ,N ,Geo ,PI ,Arch ,Art ,Abs ,ВІ ,Ті,Cl
Силуэт бегущего человека на фоне яркого заката.,1,,,,,,,,,,,,1,,,,,,,,
Рука прикасается к коре старого дерева.,1,,1,,,,,,,,,,,,1,,,,,,
Ноги в кроссовках стоят на узкой лесной тропинке.,1,,1,,,,,,1,,,,1,,,,,,,,
Улыбающийся ребенок смотрит в солнечный свет.,1,,,,,,,,,,,,,,,,,,,,
Ладонь ловит падающую снежинку.,1,,1,,,,,,,,,,,,,,,,,,
Пара обнимается у берега реки.,1,,,,,,,,,,,,1,,,,,,,,
Плечи покрыты каплями дождя.,1,,1,,,,,,,,,,,,,,,,,,
Рука держит кисть и наносит мазок краски.,1,,1,,,,,,1,,,,,,,,,,,,
Профиль старика с глубокими морщинами.,1,,,,,,,,,,,,,,,,,,,,
Ноги в сандалиях идут по мощеной улице.,1,,1,,,,,,1,,,,,,,,,,,,
Лицо с закрытыми глазами отворачивается от яркого света.,1,,1,,,,,,,,,,,,,,,,,,
Пальцы крепко сжаты в рукопожатии.,1,,1,,,,,,,,,,,,,,,,,,
Человек прыгает через большую лужу.,1,,,,,,,,,,,,,,,,,,,,
Тело изгибается в красивом танцевальном движении.,1,,,,,,,,,,,,,,,,,,,,
Кисть держит чашку горячего кофе.,1,,1,,,,,,1,,,1,,,,,,,,,
Губы шепчут что-то другу на ухо.,1,,1,,,,,,,,,,,,,,,,,,
Спина залита мягким светом заката.,1,,,,,,,,,,,,1,,,,,,,,
Рука пишет пером на старом письме.,1,,1,,,,,,1,,,,,,,,,,,,
Человек балансирует на натянутом канате.,1,,,,,,,,1,,,,,,,,,,,,
Ноги оставляют четкие следы на мокром песке.,1,,,,,,,,,,,,1,,,,,,,,
Лицо улыбается и смеется до слез.,1,,1,,,,,,,,,,,,,,,,,,
Рука держит охапку разноцветных осенних листьев.,1,,,,,,,,,,,,,,1,,,,,,
"Человек стоит у большого окна, видно только силуэт.",1,,,,,,,,1,,,,,,,,,,,,
Пальцы осторожно держат нежный цветок.,1,,1,,,,,,,,,,,,1,,,,,,
Руки друзей сплетены в кругу.,1,,1,,,,,,,,,,,,,,,,,,
Лицо освещено теплым светом свечи.,1,,1,,,,,,,,,,,,,,,,,,
Пловец погружается в прозрачную воду.,1,,,,,,,,,,,,,,,,,,,,
Рука тянется вверх к яркой радуге.,1,,,,,,,,,,,,1,,,,,,,,
Ноги в ботинках стоят на вершине высокой горы.,1,,,,,,,,1,,,,1,,,,,,,,
Улыбающаяся женщина в венке из цветов.,1,,,,,,,,1,,,,,,,,,,,,
На губах играет легкая нежная улыбка.,1,,1,,,,,,,,,,,,,,,,,,
Ладони сложены в знак благодарности.,1,,1,,,,,,,,,,,,,,,,,,
Тень идущего человека тянется по дороге.,1,,,,,,,,,,,,1,,,,,,,,
Пальцы аккуратно завязывают маленький бантик.,1,,1,,,,,,1,,,,,,,,,,,,
Человек сидит в позе медитации.,1,,,,,,,,,,,,,,,,,,,,
Лицо задумчиво смотрит вдаль.,1,,1,,,,,,,,,,,,,,,,,,
Подросток с рюкзаком стоит на фоне густого леса.,1,,,,,,,,1,,,,1,,,,,,,,
Рука бросает камень в гладкую воду.,1,,1,,,,,,,,,,,,,,,,,,
Ребенок задумчиво смотрит в окно.,1,,,,,,,,1,,,,,,,,,,,,
Ноги запутались в высокой траве.,1,,1,,,,,,,,,,,,1,,,,,,
Руки нежно держат маленькие детские ножки.,1,,1,,,,,,,,,,,,,,,,,,
Улыбка сквозь блестящие от слез глаза.,1,,1,,,,,,,,,,,,,,,,,,
Пальцы легко скользят по клавишам пианино.,1,,1,,,,,,1,,,,,,,,,,,,
Йог стоит в позе на фоне яркого восхода.,1,,,,,,,,,,,,1,,,,,,,,
Лицо с вдохновленным выражением.,1,,1,,,,,,,,,,,,,,,,,,
Ноги босиком танцуют на зеленой поляне.,1,,1,,,,,,,,,,1,,,,,,,,
Рука касается холодного запотевшего стекла.,1,,1,,,,,,1,,,,,,,,,,,,
Спина спрятана в глубокой тени большого дерева.,1,,1,,,,,,,,,,,,1,,,,,,
Губы тихо напевают мелодию.,1,,1,,,,,,,,,,,,,,,,,,
Руки лепят сосуд из мягкой глины.,1,,1,,,,,,1,,,,,,,,,,,,
Человек с удовольствием вдыхает аромат цветов.,1,,,,,,,,,,,,,,1,,,,,,
Ноги в тёплых носках с новогодними узорами.,1,,1,,,,,,1,,,,,,,,,,,,
Рука аккуратно вытирает слезу с лица.,1,,1,,,,,,,,,,,,,,,,,,
Человек перепрыгивает через яркое кострище.,1,,,,,,,,,,,,,,,,,,,1,
Лицо освещено множеством огней ночного города.,1,,1,,,,,,,,,,,,,,,,,,
Ладони сложены в форме лодочки.,1,,1,,,,,,,,,,,,,,,,,,
Губы широко улыбаются в момент смеха.,1,,1,,,,,,,,,,,,,,,,,,
Пальцы перебирают четки одну за другой.,1,,1,,,,,,1,,,,,,,,,,,,
Спина бегуна напряжена во время марафона.,1,,1,,,,,,,,,,,,,,,,,,
Рука ласково поправляет выбившуюся прядь волос.,1,,1,,,,,,,,,,,,,,,,,,
Ноги в спортивных тапочках бегут по дорожке.,1,,1,,,,,,1,,,,1,,,,,,,,
Лицо в профиль улыбается ветру.,1,,1,,,,,,,,,,,,,,,,,,
Человек прыгает высоко на фоне голубого неба.,1,,,,,,,,,,,,1,,,,,,,,
Руки крепко переплетаются в объятии.,1,,1,,,,,,,,,,,,,,,,,,
Пальцы переворачивают листы бумаги.,1,,1,,,,,,1,,,,,,,,,,,,
Юноша задумчиво смотрит в сторону.,1,,,,,,,,,,,,,,,,,,,,
Ноги в босоножках идут по мокрой мостовой.,1,,1,,,,,,1,,,,1,,,,,,,,
